Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Prof. Serena Nik-Zainal.,Nik-Zainal S,"Serena Nik-Zainal, MD, PhD, is professor of genomic medicine and bioinformatics and an honorary consultant in clinical genetics at the University of Cambridge. Prof. Nik-Zainal has dedicated her career to studying the physiology of cancer mutagenesis via a combination of computational and experimental work, as well as validation with clinical data. Among the many awards she has earned for her work, she has recently received the 2024 ESMO Award for Translational Research, for the research in the field of mutational signatures and her efforts in translating their use into clinics.",2024,Sep,Cell Rep Med,5,9,101739,,10.1016/j.xcrm.2024.101739,39293396,#1,Nik-Zainal 2024,"",""
"Mutational signatures: emerging concepts, caveats and clinical applications.",Koh G; Degasperi A; Zou X; Momen S; Nik-Zainal S,"Whole-genome sequencing has brought the cancer genomics community into new territory. Thanks to the sheer power provided by the thousands of mutations present in each patient's cancer, we have been able to discern generic patterns of mutations, termed 'mutational signatures', that arise during tumorigenesis. These mutational signatures provide new insights into the causes of individual cancers, revealing both endogenous and exogenous factors that have influenced cancer development. This Review brings readers up to date in a field that is expanding in computational, experimental and clinical directions. We focus on recent conceptual advances, underscoring some of the caveats associated with using the mutational signature frameworks and highlighting the latest experimental insights. We conclude by bringing attention to areas that are likely to see advancements in clinical applications.",2021,Oct,Nat Rev Cancer,21,10,619-637,,10.1038/s41568-021-00377-7,34316057,#11,Koh 2021,"",""
Toward the functional interpretation of somatic structural variations: bulk- and single-cell approaches.,Yi D; Nam JW; Jeong H,"Structural variants (SVs) are genomic rearrangements that can take many different forms such as copy number alterations, inversions and translocations. During cell development and aging, somatic SVs accumulate in the genome with potentially neutral, deleterious or pathological effects. Generation of somatic SVs is a key mutational process in cancer development and progression. Despite their importance, the detection of somatic SVs is challenging, making them less studied than somatic single-nucleotide variants. In this review, we summarize recent advances in whole-genome sequencing (WGS)-based approaches for detecting somatic SVs at the tissue and single-cell levels and discuss their advantages and limitations. First, we describe the state-of-the-art computational algorithms for somatic SV calling using bulk WGS data and compare the performance of somatic SV detectors in the presence or absence of a matched-normal control. We then discuss the unique features of cutting-edge single-cell-based techniques for analyzing somatic SVs. The advantages and disadvantages of bulk and single-cell approaches are highlighted, along with a discussion of their sensitivity to copy-neutral SVs, usefulness for functional inferences and experimental and computational costs. Finally, computational approaches for linking somatic SVs to their functional readouts, such as those obtained from single-cell transcriptome and epigenome analyses, are illustrated, with a discussion of the promise of these approaches in health and diseases.",2023,Sep,Brief Bioinform,24,5,,,10.1093/bib/bbad297,37587831,#12,Yi 2023,"",""
Data-driven approaches to advance research and clinical care for pediatric cancer.,Gout AM; Arunachalam S; Finkelstein DB; Zhang J,"Pediatric cancer is a rare disease with a distinct etiology and mutational landscape compared with adult cancer. Multi-omics profiling of retrospective and prospective cohorts coupled with innovative computational analysis have been instrumental in uncovering mechanisms of tumorigenesis and drug resistance that are now informing pediatric cancer clinical therapy. In this review we present the major data resources of pediatric cancer and actionable insights into pediatric cancer etiology stemming from the identification of oncogenic gene fusions, mutational signature analysis, systems biology, cancer predisposition and survivorship studies - that have led to improved clinical diagnosis, discovery of new drug-targets, pharmacological therapy, and screening for genetic predisposition. Ultimately, integration of large-scale omics datasets generated through international collaboration is required to maximize the power of data-driven approaches to advance pediatric cancer research informing clinical therapy.",2021,Aug,Biochim Biophys Acta Rev Cancer,1876,1,188571,,10.1016/j.bbcan.2021.188571,34051287,#13,Gout 2021,"",""
Small but strong: Mutational and functional landscapes of micronuclei in cancer genomes.,Guo X; Dai X; Wu X; Cao N; Wang X,"Micronuclei, small spatially-separated, nucleus-like structures, are a common feature of human cancer cells. There are considerable heterogeneities in the sources, structures and genetic activities of micronuclei. Accumulating evidence suggests that micronuclei and main nuclei represent separate entities with respect to DNA replication, DNA damage sensing and repairing capacity because micronuclei are not monitored by the same checkpoints nor covered by the same nuclear envelope as the main nuclei. Thus, micronuclei are spatially restricted ""mutation factories."" Several large-scale DNA sequencing and bioinformatics studies over the last few years have revealed that most micronuclei display a mutational signature of chromothripsis immediately after their generation and the underlying molecular mechanisms have been dissected extensively. Clonal expansion of the micronucleated cells is context-dependent and is associated with chromothripsis and several other mutational signatures including extrachromosomal circular DNA, kataegis and chromoanasynthesis. These results suggest what was once thought to be merely a passive indicator of chromosomal instability is now being recognized as a strong mutator phenotype that may drive intratumoral genetic heterogeneity. Herein, we revisit the actionable determinants that contribute to the bursts of mutagenesis in micronuclei and present the growing number of evidence which suggests that micronuclei have distinct short- and long-term mutational and functional effects to cancer genomes. We also pose challenges for studying the long-term effects of micronucleation in the upcoming years.",2021,Feb,Int J Cancer,148,4,812-824,,10.1002/ijc.33300,32949152,#14,Guo 2021,"",""
MUSE-XAE: MUtational Signature Extraction with eXplainable AutoEncoder enhances tumour types classification.,Pancotti C; Rollo C; Codicè F; Birolo G; Fariselli P; Sanavia T,"MOTIVATION: Mutational signatures are a critical component in deciphering the genetic alterations that underlie cancer development and have become a valuable resource to understand the genomic changes during tumorigenesis. Therefore, it is essential to employ precise and accurate methods for their extraction to ensure that the underlying patterns are reliably identified and can be effectively utilized in new strategies for diagnosis, prognosis, and treatment of cancer patients. RESULTS: We present MUSE-XAE, a novel method for mutational signature extraction from cancer genomes using an explainable autoencoder. Our approach employs a hybrid architecture consisting of a nonlinear encoder that can capture nonlinear interactions among features, and a linear decoder which ensures the interpretability of the active signatures. We evaluated and compared MUSE-XAE with other available tools on both synthetic and real cancer datasets and demonstrated that it achieves superior performance in terms of precision and sensitivity in recovering mutational signature profiles. MUSE-XAE extracts highly discriminative mutational signature profiles by enhancing the classification of primary tumour types and subtypes in real world settings. This approach could facilitate further research in this area, with neural networks playing a critical role in advancing our understanding of cancer genomics. AVAILABILITY AND IMPLEMENTATION: MUSE-XAE software is freely available at https://github.com/compbiomed-unito/MUSE-XAE.",2024,May,Bioinformatics,40,5,,,10.1093/bioinformatics/btae320,38754097,#15,Pancotti 2024,"",""
Leveraging Whole-Exome Sequencing and Mutational Signatures to Detect Homologous Recombination Deficiency in Cancer.,Lim J; Ju YS,"Homologous recombination is a high-fidelity DNA repair mechanism essential for maintaining genome stability. Impairment of this pathway, often due to BRCA1 or BRCA2 inactivation, leads to homologous recombination deficiency (HRD), forcing cells to rely on error-prone mechanisms for repairing DNA double-strand breaks, such as nonhomologous or microhomology-mediated end joining. HRD is a clinically important biomarker, particularly in breast and ovarian cancers, as it predicts responsiveness to platinum-based chemotherapies and PARP inhibitors. However, current tests in the clinical setting, mostly based on targeted panel sequencing, lack specificity and lead to a substantial number of false positives. In contrast, whole-genome sequencing, despite its high accuracy, remains largely confined to research because of high costs and logistical constraints. In this issue of Cancer Research, Abbasi and colleagues present HRProfiler, a machine learning-based tool that accurately detects HRD using whole-exome sequencing (WES) data, which is increasingly accessible in clinical oncology. Notably, it demonstrates improved sensitivity in the WES setting compared with existing tools, such as HRDetect and SigMA. As WES continues to gain traction, HRProfiler offers a promising step toward democratizing HRD detection and enabling more precise, genomics-guided treatment strategies. This article is part of a special series: Driving Cancer Discoveries with Computational Research, Data Science, and Machine Learning/AI. See related article by Abbasi et al., p. 2504.",2025,Jul,Cancer Res,85,13,2348-2350,,10.1158/0008-5472.CAN-25-2105,40598941,#18,Lim 2025,"",""
Recognizing Pattern and Rule of Mutation Signatures Corresponding to Cancer Types.,Chen L; Zhou X; Zeng T; Pan X; Zhang YH; Huang T; Fang Z; Cai YD,"Cancer has been generally defined as a cluster of systematic malignant pathogenesis involving abnormal cell growth. Genetic mutations derived from environmental factors and inherited genetics trigger the initiation and progression of cancers. Although several well-known factors affect cancer, mutation features and rules that affect cancers are relatively unknown due to limited related studies. In this study, a computational investigation on mutation profiles of cancer samples in 27 types was given. These profiles were first analyzed by the Monte Carlo Feature Selection (MCFS) method. A feature list was thus obtained. Then, the incremental feature selection (IFS) method adopted such list to extract essential mutation features related to 27 cancer types, find out 207 mutation rules and construct efficient classifiers. The top 37 mutation features corresponding to different cancer types were discussed. All the qualitatively analyzed gene mutation features contribute to the distinction of different types of cancers, and most of such mutation rules are supported by recent literature. Therefore, our computational investigation could identify potential biomarkers and prediction rules for cancers in the mutation signature level.",2021,,Front Cell Dev Biol,9,,712931,,10.3389/fcell.2021.712931,34513841,#22,Chen 2021,"",""
Estimating tumor mutational burden from RNA-sequencing without a matched-normal sample.,Katzir R; Rudberg N; Yizhak K,"Detection of somatic mutations using patients sequencing data has many clinical applications, including the identification of cancer driver genes, detection of mutational signatures, and estimation of tumor mutational burden (TMB). We have previously developed a tool for detection of somatic mutations using tumor RNA and a matched-normal DNA. Here, we further extend it to detect somatic mutations from RNA sequencing data without a matched-normal sample. This is accomplished via a machine-learning approach that classifies mutations as either somatic or germline based on various features. When applied to RNA-sequencing of >450 melanoma samples high precision and recall are achieved, and both mutational signatures and driver genes are correctly identified. Finally, we show that RNA-based TMB is significantly associated with patient survival, showing similar or higher significance level as compared to DNA-based TMB. Our pipeline can be utilized in many future applications, analyzing novel and existing datasets where only RNA is available.",2022,Jun,Nat Commun,13,1,3092,,10.1038/s41467-022-30753-2,35654823,#25,Katzir 2022,"",""
Genome-wide mutational signatures in low-coverage whole genome sequencing of cell-free DNA.,Wan JCM; Stephens D; Luo L; White JR; Stewart CM; Rousseau B; Tsui DWY; Diaz LA Jr,"Mutational signatures accumulate in somatic cells as an admixture of endogenous and exogenous processes that occur during an individual's lifetime. Since dividing cells release cell-free DNA (cfDNA) fragments into the circulation, we hypothesize that plasma cfDNA might reflect mutational signatures. Point mutations in plasma whole genome sequencing (WGS) are challenging to identify through conventional mutation calling due to low sequencing coverage and low mutant allele fractions. In this proof of concept study of plasma WGS at 0.3-1.5x coverage from 215 patients and 227 healthy individuals, we show that both pathological and physiological mutational signatures may be identified in plasma. By applying machine learning to mutation profiles, patients with stage I-IV cancer can be distinguished from healthy individuals with an Area Under the Curve of 0.96. Interrogating mutational processes in plasma may enable earlier cancer detection, and might enable the assessment of cancer risk and etiology.",2022,Aug,Nat Commun,13,1,4953,,10.1038/s41467-022-32598-1,35999207,#27,WanJCM 2022,"",""
