method,average_precision,n_records,n_relevant,prevalence,precision_at_25,recall_at_25,ndcg_at_25,relevant_at_25,enrichment_at_25,precision_at_50,recall_at_50,ndcg_at_50,relevant_at_50,enrichment_at_50,precision_at_100,recall_at_100,ndcg_at_100,relevant_at_100,enrichment_at_100,precision_at_200,recall_at_200,ndcg_at_200,relevant_at_200,enrichment_at_200,rank_at_25_recall,screened_pct_at_25_recall,rank_at_50_recall,screened_pct_at_50_recall,rank_at_75_recall,screened_pct_at_75_recall,rank_at_90_recall,screened_pct_at_90_recall
learned_extratrees_specter_triage_oof,0.6841708327852889,2231,120,0.05378753922008068,0.92,0.19166666666666668,0.9334901555843026,23,17.104333333333336,0.74,0.30833333333333335,0.7970393535966779,37,13.757833333333334,0.67,0.5583333333333333,0.7230189434377775,67,12.456416666666668,0.49,0.8166666666666667,0.81578903464236,98,9.109916666666667,38,0.01703272075302555,84,0.03765127745405648,166,0.07440609592111161,245,0.10981622590766472
learned_svm_linear_specter_triage_oof,0.6765879590752227,2231,120,0.05378753922008068,0.84,0.175,0.842647761656355,21,15.617,0.82,0.3416666666666667,0.8285158418555474,41,15.245166666666666,0.63,0.525,0.6816136547676483,63,11.712750000000002,0.515,0.8583333333333333,0.8318314298820834,103,9.574708333333334,35,0.015688032272523533,90,0.04034065441506051,158,0.07082025997310623,241,0.10802330793366204
learned_logistic_specter_triage_oof,0.6738560045945292,2231,120,0.05378753922008068,0.8,0.16666666666666666,0.7457591455028363,20,14.873333333333335,0.84,0.35,0.7975476307814595,42,15.617,0.61,0.5083333333333333,0.640937005113828,61,11.340916666666667,0.505,0.8416666666666667,0.7985827232097071,101,9.388791666666668,35,0.015688032272523533,99,0.04437471985656656,153,0.06857911250560286,225,0.10085163603765128
learned_specter_triage_primary_oof,0.6738560045945292,2231,120,0.05378753922008068,0.8,0.16666666666666666,0.7457591455028363,20,14.873333333333335,0.84,0.35,0.7975476307814595,42,15.617,0.61,0.5083333333333333,0.640937005113828,61,11.340916666666667,0.505,0.8416666666666667,0.7985827232097071,101,9.388791666666668,35,0.015688032272523533,99,0.04437471985656656,153,0.06857911250560286,225,0.10085163603765128
learned_logistic_l2_specter_triage_oof,0.670602537761281,2231,120,0.05378753922008068,0.8,0.16666666666666666,0.7428476973984961,20,14.873333333333335,0.82,0.3416666666666667,0.7819869534768069,41,15.245166666666666,0.63,0.525,0.6535340294342737,63,11.712750000000002,0.51,0.85,0.8026056885301934,102,9.48175,35,0.015688032272523533,91,0.04078888390856118,152,0.0681308830121022,224,0.1004034065441506
learned_hgb_specter_triage_oof,0.6608754849916714,2231,120,0.05378753922008068,0.88,0.18333333333333332,0.9149794679644118,22,16.360666666666667,0.8,0.3333333333333333,0.8402631546973153,40,14.873333333333335,0.61,0.5083333333333333,0.6782891163810372,61,11.340916666666667,0.49,0.8166666666666667,0.8106164718969155,98,9.109916666666667,38,0.01703272075302555,97,0.043478260869565216,175,0.07844016136261767,242,0.1084715374271627
learned_gb_specter_triage_oof,0.6588072378608429,2231,120,0.05378753922008068,0.88,0.18333333333333332,0.901369830971943,22,16.360666666666667,0.76,0.31666666666666665,0.8096627690733312,38,14.129666666666667,0.61,0.5083333333333333,0.6755522143807432,61,11.340916666666667,0.48,0.8,0.798827223616095,96,8.924,33,0.014791573285522188,95,0.04258180188256387,170,0.0761990138951143,267,0.11967727476467951
learned_rf_specter_triage_oof,0.6409313372444039,2231,120,0.05378753922008068,0.88,0.18333333333333332,0.8195370114391676,22,16.360666666666667,0.72,0.3,0.7242348968529018,36,13.386000000000001,0.63,0.525,0.6564117498872455,63,11.712750000000002,0.48,0.8,0.7684240426834791,96,8.924,38,0.01703272075302555,87,0.038995965934558494,179,0.08023307933662036,262,0.11743612729717616
learned_adaboost_specter_triage_oof,0.5525819728228103,2231,120,0.05378753922008068,0.6,0.125,0.6555241764905403,15,11.155,0.6,0.25,0.6362496362866725,30,11.155,0.59,0.49166666666666664,0.6151489290234898,59,10.969083333333334,0.48,0.8,0.7567017760940202,96,8.924,49,0.021963245181532944,101,0.045271178843567905,172,0.07709547288211564,272,0.12191842223218288
manual_specter_hybrid,0.5455162581158315,2231,120,0.05378753922008068,0.6,0.125,0.5951676435952047,15,11.155,0.64,0.26666666666666666,0.6280053403460151,32,11.898666666666667,0.6,0.5,0.6028744555846806,60,11.155,0.47,0.7833333333333333,0.7282562884651753,94,8.738083333333334,47,0.0210667861945316,99,0.04437471985656656,187,0.08381891528462573,289,0.12953832362169432
learned_mlp_specter_triage_oof,0.49533371238340773,2231,120,0.05378753922008068,0.88,0.18333333333333332,0.8987116498904776,22,16.360666666666667,0.7,0.2916666666666667,0.7564674300397977,35,13.014166666666666,0.6,0.5,0.6580010847701336,60,11.155,0.365,0.6083333333333333,0.6532228387526239,73,6.785958333333333,42,0.01882563872702824,100,0.04482294935006723,488,0.2187359928283281,1484,0.6651725683549977
learned_svm_rbf_specter_triage_oof,0.4747546740696202,2231,120,0.05378753922008068,0.52,0.10833333333333334,0.50664892872444,13,9.667666666666667,0.54,0.225,0.5254152893268893,27,10.039500000000002,0.47,0.39166666666666666,0.4774660725461346,47,8.738083333333334,0.455,0.7583333333333333,0.6768563261318317,91,8.459208333333335,53,0.023756163155535633,123,0.055132227700582695,193,0.08650829224562977,260,0.11653966831017482
learned_nb_specter_triage_oof,0.4560866217211121,2231,120,0.05378753922008068,0.52,0.10833333333333334,0.6046095392915921,13,9.667666666666667,0.52,0.21666666666666667,0.5709800121754277,26,9.667666666666667,0.47,0.39166666666666666,0.5142117168625236,47,8.738083333333334,0.48,0.8,0.7349859061212963,96,8.924,56,0.02510085163603765,129,0.057821604661586735,185,0.08292245629762439,289,0.12953832362169432
