method,method_label,rank_for_25_recall,screening_fraction_for_25_recall,rank_for_50_recall,screening_fraction_for_50_recall,rank_for_75_recall,screening_fraction_for_75_recall,rank_for_90_recall,screening_fraction_for_90_recall
keyword,Keyword,120,0.0538,270,0.121,593,0.2658,933,0.4182
tfidf,TF-IDF,59,0.0264,125,0.056,422,0.1892,1002,0.4491
bm25,BM25,55,0.0247,152,0.0681,410,0.1838,970,0.4348
minilm,MiniLM,40,0.0179,110,0.0493,205,0.0919,392,0.1757
pubmedbert,PubMedBERT,110,0.0493,228,0.1022,499,0.2237,797,0.3572
specter,SPECTER,57,0.0255,119,0.0533,218,0.0977,325,0.1457
specter_hybrid,SPECTER-hybrid,47,0.0211,99,0.0444,187,0.0838,289,0.1295
tar_tfidf_logreg,TAR TF-IDF+LogReg,39,0.0175,97,0.0435,175,0.0784,315,0.1412
learned_logistic,Learned Logistic,35,0.0157,99,0.0444,153,0.0686,225,0.1009
learned_nb,Learned NB,56,0.0251,129,0.0578,185,0.0829,289,0.1295
learned_rf,Learned RF,38,0.017,87,0.039,179,0.0802,262,0.1174
learned_extratrees,TAR-Augmented ExtraTrees,38,0.017,84,0.0377,166,0.0744,245,0.1098
learned_gb,Learned GB,33,0.0148,95,0.0426,170,0.0762,267,0.1197
learned_hgb,Learned HGB,38,0.017,97,0.0435,175,0.0784,242,0.1085
learned_adaboost,Learned AdaBoost,49,0.022,101,0.0453,172,0.0771,272,0.1219
learned_svm_linear,Learned SVM-Linear,35,0.0157,90,0.0403,158,0.0708,241,0.108
