Method,AP,p vs Hybrid (AP),p vs TAR (AP),Rel@100,p vs Hybrid (Rel@100),p vs TAR (Rel@100),Rank@90%,p vs Hybrid (Rank@90%),p vs TAR (Rank@90%)
Manual SPECTER-hybrid,"0.552 [0.456, 0.640]",ref,0.974,"60 [50, 70]",ref,0.596,"306 [237, 387]",ref,0.689
TAR TF-IDF+LogReg,"0.632 [0.544, 0.711]",0.026*,ref,"61 [50, 71]",0.490,ref,"338 [244, 432]",0.316,ref
TAR-Augmented ExtraTrees,"0.685 [0.595, 0.762]",<0.001,0.038*,"67 [57, 76]",0.037*,0.063,"250 [214, 298]",0.979,0.973
Learned RF,"0.646 [0.550, 0.730]",0.006**,0.354,"63 [52, 74]",0.234,0.298,"261 [213, 302]",0.932,0.957
Learned NB,"0.457 [0.384, 0.526]",0.999,1.000,"48 [38, 58]",0.996,0.997,"292 [232, 364]",0.609,0.836
Learned Logistic,"0.680 [0.585, 0.768]",<0.001,0.086,"62 [52, 73]",0.348,0.401,"230 [189, 279]",0.989,0.998
Learned GB,"0.660 [0.570, 0.738]",0.004**,0.207,"62 [52, 72]",0.344,0.390,"275 [220, 344]",0.829,0.904
Learned HGB,"0.662 [0.576, 0.737]",0.007**,0.195,"61 [50, 70]",0.466,0.554,"247 [206, 299]",0.969,0.982
Learned AdaBoost,"0.557 [0.462, 0.646]",0.459,0.977,"59 [50, 69]",0.597,0.664,"281 [227, 335]",0.798,0.855
Learned SVM-Linear,"0.680 [0.584, 0.764]",0.002**,0.081,"64 [53, 74]",0.218,0.256,"245 [187, 298]",0.951,0.988
